id,file_name,file_url,is_cover,product_variant,supabase_path,upload_status,uploaded_at,file_size,upload_error,checksum
119,102015__B_2__84cdf9d873b14985bd8dafb1ce433e49.png,/images/products/102015__B_2__84cdf9d873b14985bd8dafb1ce433e49.png,false,24,,local,,1114324,,64c55bf50aad3442146c62310fac3ba4
120,102015__D_100__e88d0d70720745889d51ad2346542be5.png,/images/products/102015__D_100__e88d0d70720745889d51ad2346542be5.png,false,24,,local,,1118420,,170563ac3e565b0c9c7ce2ae744557dc
121,102015__P_500__56adbaf62eed47caabaf7b221f2d784c.png,/images/products/102015__P_500__56adbaf62eed47caabaf7b221f2d784c.png,false,24,,local,,680971,,9d94584eae8c64583c0579b82a177363
122,102015__S_0__63908df1f2384d999e004fdbfb20d2f7.png,/images/products/102015__S_0__63908df1f2384d999e004fdbfb20d2f7.png,true,24,,local,,981483,,46ae3895650470e8e05fa38d639d98fe
123,102016__B_1__06a39932837c4ed6b25698be5486a319.png,/images/products/102016__B_1__06a39932837c4ed6b25698be5486a319.png,false,25,,local,,1136081,,6bf75f84c5c37d6b1ae14386eced07d1
124,102016__B_2__3837f31b39fa421aa9c397af96906639.png,/images/products/102016__B_2__3837f31b39fa421aa9c397af96906639.png,false,25,,local,,1003879,,46a251ffeaa475fac30f747219321153
125,102016__D_100__f06763409f7a4c208e5d0421c9d45b48.png,/images/products/102016__D_100__f06763409f7a4c208e5d0421c9d45b48.png,false,25,,local,,1009637,,56c7f75c561011e13ec0791346cc3e14
126,102016__P_500__45228640b8e94432902c9e0944f6cda5.png,/images/products/102016__P_500__45228640b8e94432902c9e0944f6cda5.png,false,25,,local,,794480,,8c6423ddb0341ce0899dd93c397eddcc
127,102016__S_0__aa69083bae7a4c2097e7aac75aaa4931.png,/images/products/102016__S_0__aa69083bae7a4c2097e7aac75aaa4931.png,true,25,,local,,772575,,07cec0b8111de58dc6c73b5ca3cfaddf
128,102017__B_1__c7f5bc0e7cc349e39ec6bcd75d594550.png,/images/products/102017__B_1__c7f5bc0e7cc349e39ec6bcd75d594550.png,false,26,,local,,965439,,770897f32ddce799b89371035b0f5c7d
129,102017__B_2__8a2d77fcb873434e878f3e79fe61ee64.png,/images/products/102017__B_2__8a2d77fcb873434e878f3e79fe61ee64.png,false,26,,local,,540588,,588f0021e4ab954a66b78330ee335f0e
